Borough,ARSON AND CRIMINAL DAMAGE,BURGLARY,DRUG OFFENCES,FRAUD AND FORGERY,MISCELLANEOUS CRIMES AGAINST SOCIETY,NFIB FRAUD,POSSESSION OF WEAPONS,PUBLIC ORDER OFFENCES,ROBBERY,SEXUAL OFFENCES,THEFT,VEHICLE OFFENCES,VIOLENCE AGAINST THE PERSON,Grand Total
Barking and Dagenham,1279,839,1036,4,261,,95,1185,803,603,3930,2171,6299,18505
Barnet,1717,2181,1056,4,297,,94,1732,781,705,6569,4059,6743,25938
Bexley,1600,737,646,3,214,,77,1065,307,478,3325,2216,4768,15436
Brent,1897,1790,1507,4,283,1,164,2018,1038,764,8216,3461,8564,29707
Bromley,1968,1209,835,6,279,,107,1421,569,607,5428,3490,6155,22074
Camden,1662,2116,1301,4,195,1,119,2060,1670,815,19892,2794,6459,39088
Croydon,2543,1746,1580,12,404,,230,2132,1266,1102,7330,3657,10373,32375
Ealing,1796,1683,1094,2,311,2,145,1946,956,841,7008,4144,8823,28751
Enfield,1819,1834,1327,3,326,,222,1541,915,739,6210,4346,7767,27049
Greenwich,1870,1350,1329,2,353,,182,1774,849,781,6170,2761,7968,25389
Hackney,1647,2072,1272,5,222,,172,2009,1654,812,11402,2458,7213,30938
Hammersmith and Fulham,1160,1268,945,5,183,2,104,1517,575,545,6346,1850,5162,19662
Haringey,1549,1524,1265,4,241,,142,1588,1233,792,7417,3447,6730,25932
Harrow,922,1005,556,3,194,,63,966,454,398,4096,2018,4386,15061
Havering,1507,1163,895,1,261,,112,1267,504,560,4528,2351,5615,18764
Hillingdon,2238,1349,842,2,1131,1,133,1800,644,737,6741,3301,7380,26299
Hounslow,1771,1373,949,2,300,,116,1714,621,665,6175,2977,7642,24305
Islington,1519,1649,992,4,225,3,135,1731,1114,661,11322,2279,6196,27830
Kensington and Chelsea,1079,1361,834,8,137,,121,1059,617,577,8823,2458,4164,21238
Kingston upon Thames,917,506,483,,95,,47,711,198,315,3260,878,2877,10287
Lambeth,2111,1955,1301,2,263,1,205,2172,2173,1104,12322,3266,8365,35240
Lewisham,1902,1670,1361,3,272,,189,1967,967,911,7139,3106,8357,27844
London Heathrow and London City Airports,55,30,13,,174,,6,57,14,24,277,112,188,950
Merton,996,824,496,2,147,,71,815,361,394,3468,1503,3689,12766
Newham,1871,1849,1854,9,435,,196,1968,1545,935,13082,4112,9103,36959
Redbridge,1373,1383,825,2,260,,128,1324,644,675,5369,2920,7081,21984
Richmond upon Thames,880,921,471,4,109,1,34,725,282,315,2987,1660,2764,11153
Southwark,1788,2155,1291,5,243,,205,1823,1934,969,15703,2547,7495,36158
Sutton,1029,762,420,3,158,,67,923,286,361,2648,1286,4074,12017
Tower Hamlets,1952,2242,2173,6,327,2,192,2296,1298,937,10235,3031,9040,33731
Unknown,762,622,731,5,558,1,113,1157,682,834,4685,1115,3748,15013
Waltham Forest,1581,1425,1179,5,219,1,160,1339,891,546,6550,3446,5663,23005
Wandsworth,1485,1648,812,3,267,,107,1624,788,700,7044,2898,6332,23708
Westminster,2175,2780,2002,4,276,1,242,3268,3380,1367,52715,3868,9914,81992
