Date,Crime Type,Crime Rate
202401,ARSON AND CRIMINAL DAMAGE,4864
202402,ARSON AND CRIMINAL DAMAGE,4572
202403,ARSON AND CRIMINAL DAMAGE,4577
202404,ARSON AND CRIMINAL DAMAGE,4576
202405,ARSON AND CRIMINAL DAMAGE,4738
202406,ARSON AND CRIMINAL DAMAGE,4757
202407,ARSON AND CRIMINAL DAMAGE,5465
202408,ARSON AND CRIMINAL DAMAGE,5170
202409,ARSON AND CRIMINAL DAMAGE,4613
202410,ARSON AND CRIMINAL DAMAGE,4571
202411,ARSON AND CRIMINAL DAMAGE,4517
202401,BURGLARY,5079
202402,BURGLARY,4414
202403,BURGLARY,4379
202404,BURGLARY,4774
202405,BURGLARY,4229
202406,BURGLARY,4000
202407,BURGLARY,4393
202408,BURGLARY,4348
202409,BURGLARY,4179
202410,BURGLARY,4603
202411,BURGLARY,4623
202401,DRUG OFFENCES,2961
202402,DRUG OFFENCES,2783
202403,DRUG OFFENCES,2633
202404,DRUG OFFENCES,2780
202405,DRUG OFFENCES,2932
202406,DRUG OFFENCES,2837
202407,DRUG OFFENCES,3058
202408,DRUG OFFENCES,3605
202409,DRUG OFFENCES,3825
202410,DRUG OFFENCES,4046
202411,DRUG OFFENCES,4213
202401,FRAUD AND FORGERY,0
202402,FRAUD AND FORGERY,1
202403,FRAUD AND FORGERY,24
202404,FRAUD AND FORGERY,28
202405,FRAUD AND FORGERY,24
202406,FRAUD AND FORGERY,18
202407,FRAUD AND FORGERY,11
202408,FRAUD AND FORGERY,7
202409,FRAUD AND FORGERY,9
202410,FRAUD AND FORGERY,8
202411,FRAUD AND FORGERY,1
202401,MISCELLANEOUS CRIMES AGAINST SOCIETY,891
202402,MISCELLANEOUS CRIMES AGAINST SOCIETY,793
202403,MISCELLANEOUS CRIMES AGAINST SOCIETY,758
202404,MISCELLANEOUS CRIMES AGAINST SOCIETY,724
202405,MISCELLANEOUS CRIMES AGAINST SOCIETY,799
202406,MISCELLANEOUS CRIMES AGAINST SOCIETY,836
202407,MISCELLANEOUS CRIMES AGAINST SOCIETY,886
202408,MISCELLANEOUS CRIMES AGAINST SOCIETY,920
202409,MISCELLANEOUS CRIMES AGAINST SOCIETY,980
202410,MISCELLANEOUS CRIMES AGAINST SOCIETY,1046
202411,MISCELLANEOUS CRIMES AGAINST SOCIETY,987
202401,NFIB FRAUD,0
202402,NFIB FRAUD,1
202403,NFIB FRAUD,2
202404,NFIB FRAUD,8
202405,NFIB FRAUD,5
202406,NFIB FRAUD,1
202407,NFIB FRAUD,0
202408,NFIB FRAUD,0
202409,NFIB FRAUD,0
202410,NFIB FRAUD,0
202411,NFIB FRAUD,0
202401,POSSESSION OF WEAPONS,478
202402,POSSESSION OF WEAPONS,432
202403,POSSESSION OF WEAPONS,344
202404,POSSESSION OF WEAPONS,426
202405,POSSESSION OF WEAPONS,420
202406,POSSESSION OF WEAPONS,373
202407,POSSESSION OF WEAPONS,389
202408,POSSESSION OF WEAPONS,429
202409,POSSESSION OF WEAPONS,437
202410,POSSESSION OF WEAPONS,409
202411,POSSESSION OF WEAPONS,358
202401,PUBLIC ORDER OFFENCES,4275
202402,PUBLIC ORDER OFFENCES,4544
202403,PUBLIC ORDER OFFENCES,4369
202404,PUBLIC ORDER OFFENCES,4500
202405,PUBLIC ORDER OFFENCES,5104
202406,PUBLIC ORDER OFFENCES,5051
202407,PUBLIC ORDER OFFENCES,5429
202408,PUBLIC ORDER OFFENCES,5264
202409,PUBLIC ORDER OFFENCES,4754
202410,PUBLIC ORDER OFFENCES,4891
202411,PUBLIC ORDER OFFENCES,4513
202401,ROBBERY,2959
202402,ROBBERY,2721
202403,ROBBERY,2725
202404,ROBBERY,2912
202405,ROBBERY,3206
202406,ROBBERY,2936
202407,ROBBERY,2856
202408,ROBBERY,2865
202409,ROBBERY,2815
202410,ROBBERY,3113
202411,ROBBERY,2905
202401,SEXUAL OFFENCES,1861
202402,SEXUAL OFFENCES,1956
202403,SEXUAL OFFENCES,1983
202404,SEXUAL OFFENCES,1899
202405,SEXUAL OFFENCES,2229
202406,SEXUAL OFFENCES,2328
202407,SEXUAL OFFENCES,2458
202408,SEXUAL OFFENCES,2129
202409,SEXUAL OFFENCES,2156
202410,SEXUAL OFFENCES,2327
202411,SEXUAL OFFENCES,2243
202401,THEFT,23245
202402,THEFT,24956
202403,THEFT,26215
202404,THEFT,26178
202405,THEFT,25799
202406,THEFT,26436
202407,THEFT,27453
202408,THEFT,26502
202409,THEFT,25133
202410,THEFT,27933
202411,THEFT,28562
202401,VEHICLE OFFENCES,8987
202402,VEHICLE OFFENCES,8191
202403,VEHICLE OFFENCES,8812
202404,VEHICLE OFFENCES,8659
202405,VEHICLE OFFENCES,8851
202406,VEHICLE OFFENCES,8183
202407,VEHICLE OFFENCES,8291
202408,VEHICLE OFFENCES,8114
202409,VEHICLE OFFENCES,7790
202410,VEHICLE OFFENCES,8256
202411,VEHICLE OFFENCES,7852
202401,VIOLENCE AGAINST THE PERSON,19950
202402,VIOLENCE AGAINST THE PERSON,19713
202403,VIOLENCE AGAINST THE PERSON,18143
202404,VIOLENCE AGAINST THE PERSON,19150
202405,VIOLENCE AGAINST THE PERSON,20736
202406,VIOLENCE AGAINST THE PERSON,20279
202407,VIOLENCE AGAINST THE PERSON,21250
202408,VIOLENCE AGAINST THE PERSON,19758
202409,VIOLENCE AGAINST THE PERSON,19379
202410,VIOLENCE AGAINST THE PERSON,19568
202411,VIOLENCE AGAINST THE PERSON,19171
202401,Total Crimes,75550
202402,Total Crimes,75077
202403,Total Crimes,74964
202404,Total Crimes,76614
202405,Total Crimes,79072
202406,Total Crimes,78035
202407,Total Crimes,81939
202408,Total Crimes,79111
