Date,ARSON AND CRIMINAL DAMAGE,BURGLARY,DRUG OFFENCES,FRAUD AND FORGERY,MISCELLANEOUS CRIMES AGAINST SOCIETY,NFIB FRAUD,POSSESSION OF WEAPONS,PUBLIC ORDER OFFENCES,ROBBERY,SEXUAL OFFENCES,THEFT,VEHICLE OFFENCES,VIOLENCE AGAINST THE PERSON
2024-01-01,4864,5079,2961,0,891,0,478,4275,2959,1861,23245,8987,19950
2024-02-01,4572,4414,2783,1,793,1,432,4544,2721,1956,24956,8191,19713
2024-03-01,4577,4379,2633,24,758,2,344,4369,2725,1983,26215,8812,18143
2024-04-01,4576,4774,2780,28,724,8,426,4500,2912,1899,26178,8659,19150
2024-05-01,4738,4229,2932,24,799,5,420,5104,3206,2229,25799,8851,20736
2024-06-01,4757,4000,2837,18,836,1,373,5051,2936,2328,26436,8183,20279
2024-07-01,5465,4393,3058,11,886,0,389,5429,2856,2458,27453,8291,21250
2024-08-01,5170,4348,3605,7,920,0,429,5264,2865,2129,26502,8114,19758
2024-09-01,4613,4179,3825,9,980,0,437,4754,2815,2156,25133,7790,19379
2024-10-01,4571,4603,4046,8,1046,0,409,4891,3113,2327,27933,8256,19568
2024-11-01,4517,4623,4213,1,987,0,358,4513,2905,2243,28562,7852,19171
