date,series,value
1997,Spirits,30546
1998,Spirits,31299
1999,Spirits,32188
2000,Spirits,32641
2001,Spirits,32726
2002,Spirits,32534
2003,Spirits,33437
2004,Spirits,32670
2005,Spirits,33592
2006,Spirits,35103
2007,Spirits,33917
2008,Spirits,35307
2009,Spirits,37995
2010,Spirits,37317
2011,Spirits,41683
2012,Spirits,41417
2013,Spirits,42660
2014,Spirits,41351
2015,Spirits,39738
2016,Spirits,39322
2017,Spirits,42314
2018,Spirits,44009
2019,Spirits,43120
2020,Spirits,49311
2021,Spirits,49654
2022,Spirits,47435
2023,Spirits,48893
1997,Clothing and footwear,29218
1998,Clothing and footwear,31080
1999,Clothing and footwear,32359
2000,Clothing and footwear,34467
2001,Clothing and footwear,35873
2002,Clothing and footwear,38744
2003,Clothing and footwear,41071
2004,Clothing and footwear,41976
2005,Clothing and footwear,43268
2006,Clothing and footwear,45108
2007,Clothing and footwear,46219
2008,Clothing and footwear,48017
2009,Clothing and footwear,48357
2010,Clothing and footwear,49509
2011,Clothing and footwear,51892
2012,Clothing and footwear,53624
2013,Clothing and footwear,57973
2014,Clothing and footwear,58704
2015,Clothing and footwear,61767
2016,Clothing and footwear,64524
2017,Clothing and footwear,65259
2018,Clothing and footwear,66850
2019,Clothing and footwear,69788
2020,Clothing and footwear,55425
2021,Clothing and footwear,62254
2022,Clothing and footwear,72536
2023,Clothing and footwear,78849
1997,Housing,161077
1998,Housing,166480
1999,Housing,172957
2000,Housing,179127
2001,Housing,185554
2002,Housing,191607
2003,Housing,197749
2004,Housing,207153
2005,Housing,218365
2006,Housing,231730
2007,Housing,241123
2008,Housing,254765
2009,Housing,258953
2010,Housing,265760
2011,Housing,270699
2012,Housing,286319
2013,Housing,299288
2014,Housing,307015
2015,Housing,317131
2016,Housing,331769
2017,Housing,334007
2018,Housing,344123
2019,Housing,349492
2020,Housing,355211
2021,Housing,366725
2022,Housing,393123
2023,Housing,419982
