Date,Crime Type,Crime Rate
01/01/2024,ARSON AND CRIMINAL DAMAGE,4864
01/02/2024,ARSON AND CRIMINAL DAMAGE,4572
01/03/2024,ARSON AND CRIMINAL DAMAGE,4577
01/04/2024,ARSON AND CRIMINAL DAMAGE,4576
01/05/2024,ARSON AND CRIMINAL DAMAGE,4738
01/06/2024,ARSON AND CRIMINAL DAMAGE,4757
01/07/2024,ARSON AND CRIMINAL DAMAGE,5465
01/08/2024,ARSON AND CRIMINAL DAMAGE,5170
01/09/2024,ARSON AND CRIMINAL DAMAGE,4613
01/10/2024,ARSON AND CRIMINAL DAMAGE,4571
01/11/2024,ARSON AND CRIMINAL DAMAGE,4517
01/01/2024,BURGLARY,5079
01/02/2024,BURGLARY,4414
01/03/2024,BURGLARY,4379
01/04/2024,BURGLARY,4774
01/05/2024,BURGLARY,4229
01/06/2024,BURGLARY,4000
01/07/2024,BURGLARY,4393
01/08/2024,BURGLARY,4348
01/09/2024,BURGLARY,4179
01/10/2024,BURGLARY,4603
01/11/2024,BURGLARY,4623
01/01/2024,DRUG OFFENCES,2961
01/02/2024,DRUG OFFENCES,2783
01/03/2024,DRUG OFFENCES,2633
01/04/2024,DRUG OFFENCES,2780
01/05/2024,DRUG OFFENCES,2932
01/06/2024,DRUG OFFENCES,2837
01/07/2024,DRUG OFFENCES,3058
01/08/2024,DRUG OFFENCES,3605
01/09/2024,DRUG OFFENCES,3825
01/10/2024,DRUG OFFENCES,4046
01/11/2024,DRUG OFFENCES,4213
01/01/2024,FRAUD AND FORGERY,0
01/02/2024,FRAUD AND FORGERY,1
01/03/2024,FRAUD AND FORGERY,24
01/04/2024,FRAUD AND FORGERY,28
01/05/2024,FRAUD AND FORGERY,24
01/06/2024,FRAUD AND FORGERY,18
01/07/2024,FRAUD AND FORGERY,11
01/08/2024,FRAUD AND FORGERY,7
01/09/2024,FRAUD AND FORGERY,9
01/10/2024,FRAUD AND FORGERY,8
01/11/2024,FRAUD AND FORGERY,1
01/01/2024,MISCELLANEOUS CRIMES AGAINST SOCIETY,891
01/02/2024,MISCELLANEOUS CRIMES AGAINST SOCIETY,793
