Borough,Crime Type,Crime
Barking and Dagenham,ARSON AND CRIMINAL DAMAGE,1279.0
Barnet,ARSON AND CRIMINAL DAMAGE,1717.0
Bexley,ARSON AND CRIMINAL DAMAGE,1600.0
Brent,ARSON AND CRIMINAL DAMAGE,1897.0
Bromley,ARSON AND CRIMINAL DAMAGE,1968.0
Camden,ARSON AND CRIMINAL DAMAGE,1662.0
Croydon,ARSON AND CRIMINAL DAMAGE,2543.0
Ealing,ARSON AND CRIMINAL DAMAGE,1796.0
Enfield,ARSON AND CRIMINAL DAMAGE,1819.0
Greenwich,ARSON AND CRIMINAL DAMAGE,1870.0
Hackney,ARSON AND CRIMINAL DAMAGE,1647.0
Hammersmith and Fulham,ARSON AND CRIMINAL DAMAGE,1160.0
Haringey,ARSON AND CRIMINAL DAMAGE,1549.0
Harrow,ARSON AND CRIMINAL DAMAGE,922.0
Havering,ARSON AND CRIMINAL DAMAGE,1507.0
Hillingdon,ARSON AND CRIMINAL DAMAGE,2238.0
Hounslow,ARSON AND CRIMINAL DAMAGE,1771.0
Islington,ARSON AND CRIMINAL DAMAGE,1519.0
Kensington and Chelsea,ARSON AND CRIMINAL DAMAGE,1079.0
Kingston upon Thames,ARSON AND CRIMINAL DAMAGE,917.0
Lambeth,ARSON AND CRIMINAL DAMAGE,2111.0
Lewisham,ARSON AND CRIMINAL DAMAGE,1902.0
London Heathrow and London City Airports,ARSON AND CRIMINAL DAMAGE,55.0
Merton,ARSON AND CRIMINAL DAMAGE,996.0
Newham,ARSON AND CRIMINAL DAMAGE,1871.0
Redbridge,ARSON AND CRIMINAL DAMAGE,1373.0
Richmond upon Thames,ARSON AND CRIMINAL DAMAGE,880.0
Southwark,ARSON AND CRIMINAL DAMAGE,1788.0
Sutton,ARSON AND CRIMINAL DAMAGE,1029.0
Tower Hamlets,ARSON AND CRIMINAL DAMAGE,1952.0
Unknown,ARSON AND CRIMINAL DAMAGE,762.0
Waltham Forest,ARSON AND CRIMINAL DAMAGE,1581.0
Wandsworth,ARSON AND CRIMINAL DAMAGE,1485.0
Westminster,ARSON AND CRIMINAL DAMAGE,2175.0
Barking and Dagenham,BURGLARY,839.0
Barnet,BURGLARY,2181.0
Bexley,BURGLARY,737.0
Brent,BURGLARY,1790.0
Bromley,BURGLARY,1209.0
Camden,BURGLARY,2116.0
Croydon,BURGLARY,1746.0
Ealing,BURGLARY,1683.0
Enfield,BURGLARY,1834.0
Greenwich,BURGLARY,1350.0
Hackney,BURGLARY,2072.0
Hammersmith and Fulham,BURGLARY,1268.0
Haringey,BURGLARY,1524.0
Harrow,BURGLARY,1005.0
Havering,BURGLARY,1163.0
Hillingdon,BURGLARY,1349.0
Hounslow,BURGLARY,1373.0
Islington,BURGLARY,1649.0
Kensington and Chelsea,BURGLARY,1361.0
Kingston upon Thames,BURGLARY,506.0
Lambeth,BURGLARY,1955.0
Lewisham,BURGLARY,1670.0
London Heathrow and London City Airports,BURGLARY,30.0
Merton,BURGLARY,824.0
Newham,BURGLARY,1849.0
Redbridge,BURGLARY,1383.0
Richmond upon Thames,BURGLARY,921.0
Southwark,BURGLARY,2155.0
Sutton,BURGLARY,762.0
Tower Hamlets,BURGLARY,2242.0
Unknown,BURGLARY,622.0
Waltham Forest,BURGLARY,1425.0
Wandsworth,BURGLARY,1648.0
Westminster,BURGLARY,2780.0
Barking and Dagenham,DRUG OFFENCES,1036.0
Barnet,DRUG OFFENCES,1056.0
Bexley,DRUG OFFENCES,646.0
Brent,DRUG OFFENCES,1507.0
Bromley,DRUG OFFENCES,835.0
Camden,DRUG OFFENCES,1301.0
Croydon,DRUG OFFENCES,1580.0
Ealing,DRUG OFFENCES,1094.0
Enfield,DRUG OFFENCES,1327.0
Greenwich,DRUG OFFENCES,1329.0
Hackney,DRUG OFFENCES,1272.0
Hammersmith and Fulham,DRUG OFFENCES,945.0
