Sl. No.,State/UTs,Women Participation (%) - 2023-24,ID_1
1,Andhra Pradesh,60.56,2
2,Arunachal Pradesh,47.83,3
3,Assam,50.59,4
4,Bihar,54.27,5
5,Chhattisgarh,54.09,7
6,Goa,72.09,11
7,Gujarat,46.99,12
8,Haryana,61.05,13
9,Himachal Pradesh,64.07,14
10,Jammu and Kashmir,32.16,15
11,Jharkhand,47.83,16
12,Karnataka,52.82,17
13,Kerala,89.27,18
15,Madhya Pradesh,43.32,20
16,Maharashtra,43.94,21
17,Manipur,52.74,22
18,Meghalaya,57.4,23
19,Mizoram,48.89,24
20,Nagaland,44.77,25
21,Odisha,49.06,26
22,Punjab,68.66,28
23,Rajasthan,68.71,29
24,Sikkim,55.42,30
25,Tamil Nadu,86.66,31
27,Tripura,49.57,32
28,Uttar Pradesh,42.26,33
29,Uttarakhand,56.85,34
30,West Bengal,45.02,35
31,Andaman and Nicobar Islands,63.73,1
,Daman and Diu,49.03,9
32,Dadra and Haveli,49.03,8
33,Lakshadweep,40,19
34,Puducherry,87.39,27
