Date,Crime Type,Crime Rate
2024-01-01,ARSON AND CRIMINAL DAMAGE,4864
2024-02-01,ARSON AND CRIMINAL DAMAGE,4572
2024-03-01,ARSON AND CRIMINAL DAMAGE,4577
2024-04-01,ARSON AND CRIMINAL DAMAGE,4576
2024-05-01,ARSON AND CRIMINAL DAMAGE,4738
2024-06-01,ARSON AND CRIMINAL DAMAGE,4757
2024-07-01,ARSON AND CRIMINAL DAMAGE,5465
2024-08-01,ARSON AND CRIMINAL DAMAGE,5170
2024-09-01,ARSON AND CRIMINAL DAMAGE,4613
2024-10-01,ARSON AND CRIMINAL DAMAGE,4571
2024-11-01,ARSON AND CRIMINAL DAMAGE,4517
2024-01-01,BURGLARY,5079
2024-02-01,BURGLARY,4414
2024-03-01,BURGLARY,4379
2024-04-01,BURGLARY,4774
2024-05-01,BURGLARY,4229
2024-06-01,BURGLARY,4000
2024-07-01,BURGLARY,4393
2024-08-01,BURGLARY,4348
2024-09-01,BURGLARY,4179
2024-10-01,BURGLARY,4603
2024-11-01,BURGLARY,4623
2024-01-01,DRUG OFFENCES,2961
2024-02-01,DRUG OFFENCES,2783
2024-03-01,DRUG OFFENCES,2633
2024-04-01,DRUG OFFENCES,2780
2024-05-01,DRUG OFFENCES,2932
2024-06-01,DRUG OFFENCES,2837
2024-07-01,DRUG OFFENCES,3058
2024-08-01,DRUG OFFENCES,3605
2024-09-01,DRUG OFFENCES,3825
2024-10-01,DRUG OFFENCES,4046
2024-11-01,DRUG OFFENCES,4213
2024-01-01,FRAUD AND FORGERY,0
2024-02-01,FRAUD AND FORGERY,1
2024-03-01,FRAUD AND FORGERY,24
2024-04-01,FRAUD AND FORGERY,28
2024-05-01,FRAUD AND FORGERY,24
2024-06-01,FRAUD AND FORGERY,18
2024-07-01,FRAUD AND FORGERY,11
2024-08-01,FRAUD AND FORGERY,7
2024-09-01,FRAUD AND FORGERY,9
2024-10-01,FRAUD AND FORGERY,8
2024-11-01,FRAUD AND FORGERY,1
2024-01-01,MISCELLANEOUS CRIMES AGAINST SOCIETY,891
2024-02-01,MISCELLANEOUS CRIMES AGAINST SOCIETY,793
2024-03-01,MISCELLANEOUS CRIMES AGAINST SOCIETY,758
2024-04-01,MISCELLANEOUS CRIMES AGAINST SOCIETY,724
2024-05-01,MISCELLANEOUS CRIMES AGAINST SOCIETY,799
2024-06-01,MISCELLANEOUS CRIMES AGAINST SOCIETY,836
2024-07-01,MISCELLANEOUS CRIMES AGAINST SOCIETY,886
2024-08-01,MISCELLANEOUS CRIMES AGAINST SOCIETY,920
2024-09-01,MISCELLANEOUS CRIMES AGAINST SOCIETY,980
2024-10-01,MISCELLANEOUS CRIMES AGAINST SOCIETY,1046
